F6 INC|_,X     2 ZX
F7 SMB7|_      2 ZC
F8 SED         1 -
F9 SBC|_,Y     3 AY
FA PLX         1 C
FB -           1 -
FC -           1 -
FD SBC|_,X     3 AX
FE INC|_,X     3 AX
FF BBS7|_      3 BZ2C

